#TITLE:Притяженья больше нет                              Минус + Бэк
#ARTIST:Виагра - Меладзе
#LANGUAGE:Russian
#CREATOR:Сергеем К.
#EDITION:Nikem
#VERSION:2.0.0
#UPDATE:05-02-2026:0.16
#MP3:М-Виагра Меладзе Притяженья больше нет.mp3
#VIDEO:Виагра Меладзе Притяженья больше нет.mp4
#BACKGROUND:Виагра Меладзе Притяженья больше нет2.jpg
#COVER:Виагра Меладзе Притяженья больше нет.jpg
#BPM:96
#GAP:23125
* 1215 1 16 гов
: 1217 2 14  на
: 1219 4 14 зад,
- 1232
: 1235 2 9 При
: 1237 2 11 тя
: 1239 2 13 жень
: 1241 2 14 я
: 1244 4 13  боль
: 1249 5 14 ше
: 1256 4 6  нет
- 1265
: 1267 2 9 При
: 1269 2 11 тя
: 1271 2 13 жень
: 1273 2 14 я
: 1276 4 13  боль
: 1281 5 14 ше
: 1287 4 7  нет
- 1297
: 1300 2 9 При
: 1302 2 11 тя
: 1304 2 13 жень
: 1306 1 14 я
* 1308 5 13  боль
* 1314 5 14 ше
: 1320 4 7  нет
- 1330
: 1332 2 -3 При
: 1334 2 -1 тя
: 1336 2 1 жень
: 1338 1 2 я
: 1340 5 1  боль
: 1346 5 2 ше
: 1352 8 -5  нет
E
